Date,Hour,Daily Peak Probability
2/14/2009,19,0.058
2/14/2009,20,0.062
2/14/2009,21,0.066
2/14/2009,22,0.070
2/14/2009,23,0.075
2/14/2009,24,0.079
2/15/2009,1,0.018
2/15/2009,2,0.019
2/15/2009,3,0.021
2/15/2009,4,0.022
2/15/2009,5,0.024
2/15/2009,6,0.025
2/15/2009,7,0.027
2/15/2009,8,0.029
2/15/2009,9,0.031
2/15/2009,10,0.033
2/15/2009,11,0.035
2/15/2009,12,0.037
2/15/2009,13,0.040
2/15/2009,14,0.043
2/15/2009,15,0.045
2/15/2009,16,0.048
2/15/2009,17,0.051
2/15/2009,18,0.055
2/15/2009,19,0.058
2/15/2009,20,0.062
2/15/2009,21,0.066
2/15/2009,22,0.071
2/15/2009,23,0.075
2/15/2009,24,0.080
2/16/2009,1,0.018
2/16/2009,2,0.019
2/16/2009,3,0.021
2/16/2009,4,0.022
2/16/2009,5,0.024
2/16/2009,6,0.025
2/16/2009,7,0.027
2/16/2009,8,0.029
2/16/2009,9,0.031
2/16/2009,10,0.033
2/16/2009,11,0.035
2/16/2009,12,0.037
2/16/2009,13,0.040
2/16/2009,14,0.042
2/16/2009,15,0.045
2/16/2009,16,0.048
2/16/2009,17,0.051
2/16/2009,18,0.055
2/16/2009,19,0.058
2/16/2009,20,0.062
2/16/2009,21,0.066
2/16/2009,22,0.070
2/16/2009,23,0.075
2/16/2009,24,0.080
2/17/2009,1,0.018
2/17/2009,2,0.019
2/17/2009,3,0.021
2/17/2009,4,0.022
2/17/2009,5,0.024
2/17/2009,6,0.025
2/17/2009,7,0.027
2/17/2009,8,0.029
2/17/2009,9,0.031
2/17/2009,10,0.033
2/17/2009,11,0.035
2/17/2009,12,0.037
2/17/2009,13,0.040
2/17/2009,14,0.042
2/17/2009,15,0.045
2/17/2009,16,0.048
2/17/2009,17,0.051
2/17/2009,18,0.055
2/17/2009,19,0.058
2/17/2009,20,0.062
2/17/2009,21,0.066
2/17/2009,22,0.070
2/17/2009,23,0.075
2/17/2009,24,0.080
2/18/2009,1,0.018
2/18/2009,2,0.019
2/18/2009,3,0.021
2/18/2009,4,0.022
2/18/2009,5,0.024
2/18/2009,6,0.025
2/18/2009,7,0.027
2/18/2009,8,0.029
2/18/2009,9,0.031
2/18/2009,10,0.033
2/18/2009,11,0.035
2/18/2009,12,0.037
2/18/2009,13,0.040
2/18/2009,14,0.042
2/18/2009,15,0.045
2/18/2009,16,0.048
2/18/2009,17,0.051
2/18/2009,18,0.055
2/18/2009,19,0.058
2/18/2009,20,0.062
2/18/2009,21,0.066
2/18/2009,22,0.070
2/18/2009,23,0.075
2/18/2009,24,0.080
2/19/2009,1,0.018
2/19/2009,2,0.019
2/19/2009,3,0.021
2/19/2009,4,0.022
2/19/2009,5,0.024
2/19/2009,6,0.025
2/19/2009,7,0.027
2/19/2009,8,0.029
2/19/2009,9,0.031
2/19/2009,10,0.033
2/19/2009,11,0.035
2/19/2009,12,0.037
2/19/2009,13,0.040
2/19/2009,14,0.042
2/19/2009,15,0.045
2/19/2009,16,0.048
2/19/2009,17,0.051
2/19/2009,18,0.055
2/19/2009,19,0.058
2/19/2009,20,0.062
2/19/2009,21,0.066
2/19/2009,22,0.070
2/19/2009,23,0.075
2/19/2009,24,0.080
2/20/2009,1,0.018
2/20/2009,2,0.019
2/20/2009,3,0.021
2/20/2009,4,0.022
2/20/2009,5,0.024
2/20/2009,6,0.025
2/20/2009,7,0.027
2/20/2009,8,0.029
2/20/2009,9,0.031
2/20/2009,10,0.033
2/20/2009,11,0.035
2/20/2009,12,0.037
2/20/2009,13,0.040
2/20/2009,14,0.042
2/20/2009,15,0.045
2/20/2009,16,0.048
2/20/2009,17,0.051
2/20/2009,18,0.055
2/20/2009,19,0.058
2/20/2009,20,0.062
2/20/2009,21,0.066
2/20/2009,22,0.070
2/20/2009,23,0.075
2/20/2009,24,0.080
2/21/2009,1,0.018
2/21/2009,2,0.019
2/21/2009,3,0.021
2/21/2009,4,0.022
2/21/2009,5,0.024
2/21/2009,6,0.025
2/21/2009,7,0.027
2/21/2009,8,0.029
2/21/2009,9,0.031
2/21/2009,10,0.033
2/21/2009,11,0.035
2/21/2009,12,0.037
2/21/2009,13,0.040
2/21/2009,14,0.042
2/21/2009,15,0.045
2/21/2009,16,0.048
2/21/2009,17,0.051
2/21/2009,18,0.055
2/21/2009,19,0.058
2/21/2009,20,0.062
2/21/2009,21,0.066
2/21/2009,22,0.070
2/21/2009,23,0.075
2/21/2009,24,0.079
2/22/2009,1,0.018
2/22/2009,2,0.019
2/22/2009,3,0.021
2/22/2009,4,0.022
2/22/2009,5,0.024
2/22/2009,6,0.025
2/22/2009,7,0.027
2/22/2009,8,0.029
2/22/2009,9,0.031
2/22/2009,10,0.033
2/22/2009,11,0.035
2/22/2009,12,0.037
2/22/2009,13,0.040
2/22/2009,14,0.043
2/22/2009,15,0.045
2/22/2009,16,0.048
2/22/2009,17,0.051
2/22/2009,18,0.055
2/22/2009,19,0.058
2/22/2009,20,0.062
2/22/2009,21,0.066
2/22/2009,22,0.071
2/22/2009,23,0.075
2/22/2009,24,0.080
2/23/2009,1,0.018
2/23/2009,2,0.019
2/23/2009,3,0.021
2/23/2009,4,0.022
2/23/2009,5,0.024
2/23/2009,6,0.025
2/23/2009,7,0.027
2/23/2009,8,0.029
2/23/2009,9,0.031
2/23/2009,10,0.033
2/23/2009,11,0.035
2/23/2009,12,0.037
2/23/2009,13,0.040
2/23/2009,14,0.042
2/23/2009,15,0.045
2/23/2009,16,0.048
2/23/2009,17,0.051
2/23/2009,18,0.055
2/23/2009,19,0.058
2/23/2009,20,0.062
2/23/2009,21,0.066
2/23/2009,22,0.070
2/23/2009,23,0.075
2/23/2009,24,0.080
2/24/2009,1,0.018
2/24/2009,2,0.019
2/24/2009,3,0.021
2/24/2009,4,0.022
2/24/2009,5,0.024
2/24/2009,6,0.025
2/24/2009,7,0.027
2/24/2009,8,0.029
2/24/2009,9,0.031
2/24/2009,10,0.033
2/24/2009,11,0.035
2/24/2009,12,0.037
2/24/2009,13,0.040
2/24/2009,14,0.042
2/24/2009,15,0.045
2/24/2009,16,0.048
2/24/2009,17,0.051
2/24/2009,18,0.055
2/24/2009,19,0.058
2/24/2009,20,0.062
2/24/2009,21,0.066
2/24/2009,22,0.070
2/24/2009,23,0.075
2/24/2009,24,0.080
2/25/2009,1,0.018
2/25/2009,2,0.019
2/25/2009,3,0.021
2/25/2009,4,0.022
2/25/2009,5,0.024
2/25/2009,6,0.025
2/25/2009,7,0.027
2/25/2009,8,0.029
2/25/2009,9,0.031
2/25/2009,10,0.033
2/25/2009,11,0.035
2/25/2009,12,0.037
2/25/2009,13,0.040
2/25/2009,14,0.042
2/25/2009,15,0.045
2/25/2009,16,0.048
2/25/2009,17,0.051
2/25/2009,18,0.055
2/25/2009,19,0.058
2/25/2009,20,0.062
2/25/2009,21,0.066
2/25/2009,22,0.070
2/25/2009,23,0.075
2/25/2009,24,0.080
2/26/2009,1,0.018
2/26/2009,2,0.019
2/26/2009,3,0.021
2/26/2009,4,0.022
2/26/2009,5,0.024
2/26/2009,6,0.025
2/26/2009,7,0.027
2/26/2009,8,0.029
2/26/2009,9,0.031
2/26/2009,10,0.033
2/26/2009,11,0.035
2/26/2009,12,0.037
2/26/2009,13,0.040
2/26/2009,14,0.042
2/26/2009,15,0.045
2/26/2009,16,0.048
2/26/2009,17,0.051
2/26/2009,18,0.055
2/26/2009,19,0.058
2/26/2009,20,0.062
2/26/2009,21,0.066
2/26/2009,22,0.070
2/26/2009,23,0.075
2/26/2009,24,0.080
2/27/2009,1,0.018
2/27/2009,2,0.019
2/27/2009,3,0.021
2/27/2009,4,0.022
2/27/2009,5,0.024
2/27/2009,6,0.025
2/27/2009,7,0.027
2/27/2009,8,0.029
2/27/2009,9,0.031
2/27/2009,10,0.033
2/27/2009,11,0.035
2/27/2009,12,0.037
2/27/2009,13,0.040
2/27/2009,14,0.042
2/27/2009,15,0.045
2/27/2009,16,0.048
2/27/2009,17,0.051
2/27/2009,18,0.055
2/27/2009,19,0.058
2/27/2009,20,0.062
2/27/2009,21,0.066
2/27/2009,22,0.070
2/27/2009,23,0.075
2/27/2009,24,0.080
2/28/2009,1,0.018
2/28/2009,2,0.019
2/28/2009,3,0.021
2/28/2009,4,0.022
2/28/2009,5,0.024
2/28/2009,6,0.025
2/28/2009,7,0.027
2/28/2009,8,0.029
2/28/2009,9,0.031
2/28/2009,10,0.033
2/28/2009,11,0.035
2/28/2009,12,0.037
2/28/2009,13,0.040
2/28/2009,14,0.042
2/28/2009,15,0.045
2/28/2009,16,0.048
2/28/2009,17,0.051
2/28/2009,18,0.055
2/28/2009,19,0.058
2/28/2009,20,0.062
2/28/2009,21,0.066
2/28/2009,22,0.070
2/28/2009,23,0.075
2/28/2009,24,0.079
3/1/2009,1,0.018
3/1/2009,2,0.019
3/1/2009,3,0.021
3/1/2009,4,0.022
3/1/2009,5,0.024
3/1/2009,6,0.025
3/1/2009,7,0.027
3/1/2009,8,0.029
3/1/2009,9,0.031
3/1/2009,10,0.033
3/1/2009,11,0.035
3/1/2009,12,0.037
3/1/2009,13,0.040
3/1/2009,14,0.043
3/1/2009,15,0.045
3/1/2009,16,0.048
3/1/2009,17,0.052
3/1/2009,18,0.055
3/1/2009,19,0.059
3/1/2009,20,0.062
3/1/2009,21,0.066
3/1/2009,22,0.071
3/1/2009,23,0.075
3/1/2009,24,0.080
3/2/2009,1,0.018
3/2/2009,2,0.019
3/2/2009,3,0.021
3/2/2009,4,0.022
3/2/2009,5,0.024
3/2/2009,6,0.025
3/2/2009,7,0.027
3/2/2009,8,0.029
3/2/2009,9,0.031
3/2/2009,10,0.033
3/2/2009,11,0.035
3/2/2009,12,0.037
3/2/2009,13,0.040
3/2/2009,14,0.043
3/2/2009,15,0.045
3/2/2009,16,0.048
3/2/2009,17,0.052
3/2/2009,18,0.055
3/2/2009,19,0.058
3/2/2009,20,0.062
3/2/2009,21,0.066
3/2/2009,22,0.071
3/2/2009,23,0.075
3/2/2009,24,0.080
3/3/2009,1,0.018
3/3/2009,2,0.019
3/3/2009,3,0.021
3/3/2009,4,0.022
3/3/2009,5,0.024
3/3/2009,6,0.025
3/3/2009,7,0.027
3/3/2009,8,0.029
3/3/2009,9,0.031
3/3/2009,10,0.033
3/3/2009,11,0.035
3/3/2009,12,0.037
3/3/2009,13,0.040
3/3/2009,14,0.042
3/3/2009,15,0.045
3/3/2009,16,0.048
3/3/2009,17,0.051
3/3/2009,18,0.055
3/3/2009,19,0.058
3/3/2009,20,0.062
3/3/2009,21,0.066
3/3/2009,22,0.071
3/3/2009,23,0.075
3/3/2009,24,0.080
3/4/2009,1,0.018
3/4/2009,2,0.019
3/4/2009,3,0.021
3/4/2009,4,0.022
3/4/2009,5,0.024
3/4/2009,6,0.025
3/4/2009,7,0.027
3/4/2009,8,0.029
3/4/2009,9,0.031
3/4/2009,10,0.033
3/4/2009,11,0.035
3/4/2009,12,0.037
3/4/2009,13,0.040
3/4/2009,14,0.042
3/4/2009,15,0.045
3/4/2009,16,0.048
3/4/2009,17,0.051
3/4/2009,18,0.055
3/4/2009,19,0.058
3/4/2009,20,0.062
3/4/2009,21,0.066
3/4/2009,22,0.070
3/4/2009,23,0.075
3/4/2009,24,0.080
3/5/2009,1,0.018
3/5/2009,2,0.019
3/5/2009,3,0.021
3/5/2009,4,0.022
3/5/2009,5,0.024
3/5/2009,6,0.025
3/5/2009,7,0.027
3/5/2009,8,0.029
3/5/2009,9,0.031
3/5/2009,10,0.033
3/5/2009,11,0.035
3/5/2009,12,0.037
3/5/2009,13,0.040
3/5/2009,14,0.042
3/5/2009,15,0.045
3/5/2009,16,0.048
3/5/2009,17,0.051
3/5/2009,18,0.055
3/5/2009,19,0.058
3/5/2009,20,0.062
3/5/2009,21,0.066
3/5/2009,22,0.070
3/5/2009,23,0.075
3/5/2009,24,0.080
3/6/2009,1,0.018
3/6/2009,2,0.019
3/6/2009,3,0.021
3/6/2009,4,0.022
3/6/2009,5,0.024
3/6/2009,6,0.025
3/6/2009,7,0.027
3/6/2009,8,0.029
3/6/2009,9,0.031
3/6/2009,10,0.033
3/6/2009,11,0.035
3/6/2009,12,0.037
3/6/2009,13,0.040
3/6/2009,14,0.042
3/6/2009,15,0.045
3/6/2009,16,0.048
3/6/2009,17,0.051
3/6/2009,18,0.055
3/6/2009,19,0.058
3/6/2009,20,0.062
3/6/2009,21,0.066
3/6/2009,22,0.070
3/6/2009,23,0.075
3/6/2009,24,0.080
3/7/2009,1,0.018
3/7/2009,2,0.019
3/7/2009,3,0.021
3/7/2009,4,0.022
3/7/2009,5,0.024
3/7/2009,6,0.025
3/7/2009,7,0.027
3/7/2009,8,0.029
3/7/2009,9,0.031
3/7/2009,10,0.033
3/7/2009,11,0.035
3/7/2009,12,0.037
3/7/2009,13,0.040
3/7/2009,14,0.042
3/7/2009,15,0.045
3/7/2009,16,0.048
3/7/2009,17,0.051
3/7/2009,18,0.055
3/7/2009,19,0.058
3/7/2009,20,0.062
3/7/2009,21,0.066
3/7/2009,22,0.070
3/7/2009,23,0.075
3/7/2009,24,0.080
3/8/2009,1,0.018
3/8/2009,3,0.021
3/8/2009,4,0.022
3/8/2009,5,0.024
3/8/2009,6,0.025
3/8/2009,7,0.027
3/8/2009,8,0.029
3/8/2009,9,0.031
3/8/2009,10,0.033
3/8/2009,11,0.035
3/8/2009,12,0.037
3/8/2009,13,0.040
3/8/2009,14,0.043
3/8/2009,15,0.045
3/8/2009,16,0.048
3/8/2009,17,0.052
3/8/2009,18,0.055
3/8/2009,19,0.059
3/8/2009,20,0.062
3/8/2009,21,0.066
3/8/2009,22,0.071
3/8/2009,23,0.075
3/8/2009,24,0.080
3/9/2009,1,0.018
3/9/2009,2,0.019
3/9/2009,3,0.021
3/9/2009,4,0.022
3/9/2009,5,0.024
3/9/2009,6,0.025
3/9/2009,7,0.027
3/9/2009,8,0.029
3/9/2009,9,0.031
3/9/2009,10,0.033
3/9/2009,11,0.035
3/9/2009,12,0.037
3/9/2009,13,0.040
3/9/2009,14,0.043
3/9/2009,15,0.045
3/9/2009,16,0.048
3/9/2009,17,0.052
3/9/2009,18,0.055
3/9/2009,19,0.058
3/9/2009,20,0.062
3/9/2009,21,0.066
3/9/2009,22,0.071
3/9/2009,23,0.075
3/9/2009,24,0.080
3/10/2009,1,0.018
3/10/2009,2,0.019
3/10/2009,3,0.021
3/10/2009,4,0.022
3/10/2009,5,0.024
3/10/2009,6,0.025
3/10/2009,7,0.027
3/10/2009,8,0.029
3/10/2009,9,0.031
3/10/2009,10,0.033
3/10/2009,11,0.035
3/10/2009,12,0.037
3/10/2009,13,0.040
3/10/2009,14,0.042
3/10/2009,15,0.045
3/10/2009,16,0.048
3/10/2009,17,0.051
3/10/2009,18,0.055
3/10/2009,19,0.058
3/10/2009,20,0.062
3/10/2009,21,0.066
3/10/2009,22,0.071
3/10/2009,23,0.075
3/10/2009,24,0.080
3/11/2009,1,0.018
3/11/2009,2,0.019
3/11/2009,3,0.021
3/11/2009,4,0.022
3/11/2009,5,0.024
3/11/2009,6,0.025
3/11/2009,7,0.027
3/11/2009,8,0.029
3/11/2009,9,0.031
3/11/2009,10,0.033
3/11/2009,11,0.035
3/11/2009,12,0.037
3/11/2009,13,0.040
3/11/2009,14,0.042
3/11/2009,15,0.045
3/11/2009,16,0.048
3/11/2009,17,0.051
3/11/2009,18,0.055
3/11/2009,19,0.058
3/11/2009,20,0.062
3/11/2009,21,0.066
3/11/2009,22,0.070
3/11/2009,23,0.075
3/11/2009,24,0.080
3/12/2009,1,0.018
3/12/2009,2,0.019
3/12/2009,3,0.021
3/12/2009,4,0.022
3/12/2009,5,0.024
3/12/2009,6,0.025
3/12/2009,7,0.027
3/12/2009,8,0.029
3/12/2009,9,0.031
3/12/2009,10,0.033
3/12/2009,11,0.035
3/12/2009,12,0.037
3/12/2009,13,0.040
3/12/2009,14,0.042
3/12/2009,15,0.045
3/12/2009,16,0.048
3/12/2009,17,0.051
3/12/2009,18,0.055
3/12/2009,19,0.058
3/12/2009,20,0.062
3/12/2009,21,0.066
3/12/2009,22,0.070
3/12/2009,23,0.075
3/12/2009,24,0.080
3/13/2009,1,0.018
3/13/2009,2,0.019
3/13/2009,3,0.021
3/13/2009,4,0.022
3/13/2009,5,0.024
3/13/2009,6,0.025
3/13/2009,7,0.027
3/13/2009,8,0.029
3/13/2009,9,0.031
3/13/2009,10,0.033
3/13/2009,11,0.035
3/13/2009,12,0.037
3/13/2009,13,0.040
3/13/2009,14,0.042
3/13/2009,15,0.045
3/13/2009,16,0.048
3/13/2009,17,0.051
3/13/2009,18,0.055
3/13/2009,19,0.058
3/13/2009,20,0.062
3/13/2009,21,0.066
3/13/2009,22,0.070
3/13/2009,23,0.075
3/13/2009,24,0.080
3/14/2009,1,0.018
3/14/2009,2,0.019
3/14/2009,3,0.021
3/14/2009,4,0.022
3/14/2009,5,0.024
3/14/2009,6,0.025
3/14/2009,7,0.027
3/14/2009,8,0.029
3/14/2009,9,0.031
3/14/2009,10,0.033
3/14/2009,11,0.035
3/14/2009,12,0.037
3/14/2009,13,0.040
3/14/2009,14,0.042
3/14/2009,15,0.045
3/14/2009,16,0.048
3/14/2009,17,0.051
3/14/2009,18,0.055
3/14/2009,19,0.058
3/14/2009,20,0.062
3/14/2009,21,0.066
3/14/2009,22,0.070
3/14/2009,23,0.075
3/14/2009,24,0.080
3/15/2009,1,0.018
3/15/2009,2,0.019
3/15/2009,3,0.021
3/15/2009,4,0.022
3/15/2009,5,0.024
3/15/2009,6,0.025
3/15/2009,7,0.027
3/15/2009,8,0.029
3/15/2009,9,0.031
3/15/2009,10,0.033
3/15/2009,11,0.035
3/15/2009,12,0.037
3/15/2009,13,0.040
3/15/2009,14,0.043
3/15/2009,15,0.045
3/15/2009,16,0.048
3/15/2009,17,0.052
3/15/2009,18,0.055
3/15/2009,19,0.059
3/15/2009,20,0.062
3/15/2009,21,0.066
3/15/2009,22,0.071
3/15/2009,23,0.075
3/15/2009,24,0.080
3/16/2009,1,0.018
3/16/2009,2,0.019
3/16/2009,3,0.021
3/16/2009,4,0.022
3/16/2009,5,0.024
3/16/2009,6,0.025
3/16/2009,7,0.027
3/16/2009,8,0.029
3/16/2009,9,0.031
3/16/2009,10,0.033
3/16/2009,11,0.035
3/16/2009,12,0.037
3/16/2009,13,0.040
3/16/2009,14,0.043
3/16/2009,15,0.045
3/16/2009,16,0.048
3/16/2009,17,0.052
3/16/2009,18,0.055
3/16/2009,19,0.058
3/16/2009,20,0.062
3/16/2009,21,0.066
3/16/2009,22,0.071
3/16/2009,23,0.075
3/16/2009,24,0.080
3/17/2009,1,0.018
3/17/2009,2,0.019
3/17/2009,3,0.021
3/17/2009,4,0.022
3/17/2009,5,0.024
3/17/2009,6,0.025
3/17/2009,7,0.027
3/17/2009,8,0.029
3/17/2009,9,0.031
3/17/2009,10,0.033
3/17/2009,11,0.035
3/17/2009,12,0.037
3/17/2009,13,0.040
3/17/2009,14,0.042
3/17/2009,15,0.045
3/17/2009,16,0.048
3/17/2009,17,0.051
3/17/2009,18,0.055
3/17/2009,19,0.058
3/17/2009,20,0.062
3/17/2009,21,0.066
3/17/2009,22,0.071
3/17/2009,23,0.075
3/17/2009,24,0.080
3/18/2009,1,0.018
3/18/2009,2,0.019
3/18/2009,3,0.021
3/18/2009,4,0.022
3/18/2009,5,0.024
3/18/2009,6,0.025
3/18/2009,7,0.027
3/18/2009,8,0.029
3/18/2009,9,0.031
3/18/2009,10,0.033
3/18/2009,11,0.035
3/18/2009,12,0.037
3/18/2009,13,0.040
3/18/2009,14,0.042
3/18/2009,15,0.045
3/18/2009,16,0.048
3/18/2009,17,0.051
3/18/2009,18,0.055
3/18/2009,19,0.058
3/18/2009,20,0.062
3/18/2009,21,0.066
3/18/2009,22,0.070
3/18/2009,23,0.075
3/18/2009,24,0.080
3/19/2009,1,0.018
3/19/2009,2,0.019
3/19/2009,3,0.021
3/19/2009,4,0.022
3/19/2009,5,0.024
3/19/2009,6,0.025
3/19/2009,7,0.027
3/19/2009,8,0.029
3/19/2009,9,0.031
3/19/2009,10,0.033
3/19/2009,11,0.035
3/19/2009,12,0.037
3/19/2009,13,0.040
3/19/2009,14,0.042
3/19/2009,15,0.045
3/19/2009,16,0.048
3/19/2009,17,0.051
3/19/2009,18,0.055
3/19/2009,19,0.058
3/19/2009,20,0.062
3/19/2009,21,0.066
3/19/2009,22,0.070
3/19/2009,23,0.075
3/19/2009,24,0.080
3/20/2009,1,0.018
3/20/2009,2,0.019
3/20/2009,3,0.021
3/20/2009,4,0.022
3/20/2009,5,0.024
3/20/2009,6,0.025
3/20/2009,7,0.027
3/20/2009,8,0.029
3/20/2009,9,0.031
3/20/2009,10,0.033
3/20/2009,11,0.035
3/20/2009,12,0.037
3/20/2009,13,0.040
3/20/2009,14,0.042
3/20/2009,15,0.045
3/20/2009,16,0.048
3/20/2009,17,0.051
3/20/2009,18,0.055
3/20/2009,19,0.058
3/20/2009,20,0.062
3/20/2009,21,0.066
3/20/2009,22,0.070
3/20/2009,23,0.075
3/20/2009,24,0.080
3/21/2009,1,0.018
3/21/2009,2,0.019
3/21/2009,3,0.021
3/21/2009,4,0.022
3/21/2009,5,0.024
3/21/2009,6,0.025
3/21/2009,7,0.027
3/21/2009,8,0.029
3/21/2009,9,0.031
3/21/2009,10,0.033
3/21/2009,11,0.035
3/21/2009,12,0.037
3/21/2009,13,0.040
3/21/2009,14,0.042
3/21/2009,15,0.045
3/21/2009,16,0.048
3/21/2009,17,0.051
3/21/2009,18,0.055
3/21/2009,19,0.058
3/21/2009,20,0.062
3/21/2009,21,0.066
3/21/2009,22,0.070
3/21/2009,23,0.075
3/21/2009,24,0.080
3/22/2009,1,0.018
3/22/2009,2,0.019
3/22/2009,3,0.021
3/22/2009,4,0.022
3/22/2009,5,0.024
3/22/2009,6,0.025
3/22/2009,7,0.027
3/22/2009,8,0.029
3/22/2009,9,0.031
3/22/2009,10,0.033
3/22/2009,11,0.035
3/22/2009,12,0.037
3/22/2009,13,0.040
3/22/2009,14,0.043
3/22/2009,15,0.045
3/22/2009,16,0.048
3/22/2009,17,0.052
3/22/2009,18,0.055
3/22/2009,19,0.059
3/22/2009,20,0.062
3/22/2009,21,0.066
3/22/2009,22,0.071
3/22/2009,23,0.075
3/22/2009,24,0.080
3/23/2009,1,0.018
3/23/2009,2,0.019
3/23/2009,3,0.021
3/23/2009,4,0.022
3/23/2009,5,0.024
3/23/2009,6,0.025
3/23/2009,7,0.027
3/23/2009,8,0.029
3/23/2009,9,0.031
3/23/2009,10,0.033
3/23/2009,11,0.035
3/23/2009,12,0.037
3/23/2009,13,0.040
3/23/2009,14,0.043
3/23/2009,15,0.045
3/23/2009,16,0.048
3/23/2009,17,0.052
3/23/2009,18,0.055
3/23/2009,19,0.058
3/23/2009,20,0.062
3/23/2009,21,0.066
3/23/2009,22,0.071
3/23/2009,23,0.075
3/23/2009,24,0.080
3/24/2009,1,0.018
3/24/2009,2,0.019
3/24/2009,3,0.021
3/24/2009,4,0.022
3/24/2009,5,0.024
3/24/2009,6,0.025
3/24/2009,7,0.027
3/24/2009,8,0.029
3/24/2009,9,0.031
3/24/2009,10,0.033
3/24/2009,11,0.035
3/24/2009,12,0.037
3/24/2009,13,0.040
3/24/2009,14,0.042
3/24/2009,15,0.045
3/24/2009,16,0.048
3/24/2009,17,0.051
3/24/2009,18,0.055
3/24/2009,19,0.058
3/24/2009,20,0.062
3/24/2009,21,0.066
3/24/2009,22,0.071
3/24/2009,23,0.075
3/24/2009,24,0.080
3/25/2009,1,0.018
3/25/2009,2,0.019
3/25/2009,3,0.021
3/25/2009,4,0.022
3/25/2009,5,0.024
3/25/2009,6,0.025
3/25/2009,7,0.027
3/25/2009,8,0.029
3/25/2009,9,0.031
3/25/2009,10,0.033
3/25/2009,11,0.035
3/25/2009,12,0.037
3/25/2009,13,0.040
3/25/2009,14,0.042
3/25/2009,15,0.045
3/25/2009,16,0.048
3/25/2009,17,0.051
3/25/2009,18,0.055
3/25/2009,19,0.058
3/25/2009,20,0.062
3/25/2009,21,0.066
3/25/2009,22,0.070
3/25/2009,23,0.075
3/25/2009,24,0.080
3/26/2009,1,0.018
3/26/2009,2,0.019
3/26/2009,3,0.021
3/26/2009,4,0.022
3/26/2009,5,0.024
3/26/2009,6,0.025
3/26/2009,7,0.027
3/26/2009,8,0.029
3/26/2009,9,0.031
3/26/2009,10,0.033
3/26/2009,11,0.035
3/26/2009,12,0.037
3/26/2009,13,0.040
3/26/2009,14,0.042
3/26/2009,15,0.045
3/26/2009,16,0.048
3/26/2009,17,0.051
3/26/2009,18,0.055
3/26/2009,19,0.058
3/26/2009,20,0.062
3/26/2009,21,0.066
3/26/2009,22,0.070
3/26/2009,23,0.075
3/26/2009,24,0.080
3/27/2009,1,0.018
3/27/2009,2,0.019
3/27/2009,3,0.021
3/27/2009,4,0.022
3/27/2009,5,0.024
3/27/2009,6,0.025
3/27/2009,7,0.027
3/27/2009,8,0.029
3/27/2009,9,0.031
3/27/2009,10,0.033
3/27/2009,11,0.035
3/27/2009,12,0.037
3/27/2009,13,0.040
3/27/2009,14,0.042
3/27/2009,15,0.045
3/27/2009,16,0.048
3/27/2009,17,0.051
3/27/2009,18,0.055
3/27/2009,19,0.058
3/27/2009,20,0.062
3/27/2009,21,0.066
3/27/2009,22,0.070
3/27/2009,23,0.075
3/27/2009,24,0.080
3/28/2009,1,0.018
3/28/2009,2,0.019
3/28/2009,3,0.021
3/28/2009,4,0.022
3/28/2009,5,0.024
3/28/2009,6,0.025
3/28/2009,7,0.027
3/28/2009,8,0.029
3/28/2009,9,0.031
3/28/2009,10,0.033
3/28/2009,11,0.035
3/28/2009,12,0.037
3/28/2009,13,0.040
3/28/2009,14,0.042
3/28/2009,15,0.045
3/28/2009,16,0.048
3/28/2009,17,0.051
3/28/2009,18,0.055
3/28/2009,19,0.058
3/28/2009,20,0.062
3/28/2009,21,0.066
3/28/2009,22,0.070
3/28/2009,23,0.075
3/28/2009,24,0.080
3/29/2009,1,0.018
3/29/2009,2,0.019
3/29/2009,3,0.021
3/29/2009,4,0.022
3/29/2009,5,0.024
3/29/2009,6,0.025
3/29/2009,7,0.027
3/29/2009,8,0.029
3/29/2009,9,0.031
3/29/2009,10,0.033
3/29/2009,11,0.035
3/29/2009,12,0.037
3/29/2009,13,0.040
3/29/2009,14,0.043
3/29/2009,15,0.045
3/29/2009,16,0.048
3/29/2009,17,0.052
3/29/2009,18,0.055
3/29/2009,19,0.059
3/29/2009,20,0.062
3/29/2009,21,0.066
3/29/2009,22,0.071
3/29/2009,23,0.075
3/29/2009,24,0.080
3/30/2009,1,0.018
3/30/2009,2,0.019
3/30/2009,3,0.021
3/30/2009,4,0.022
3/30/2009,5,0.024
3/30/2009,6,0.025
3/30/2009,7,0.027
3/30/2009,8,0.029
3/30/2009,9,0.031
3/30/2009,10,0.033
3/30/2009,11,0.035
3/30/2009,12,0.037
3/30/2009,13,0.040
3/30/2009,14,0.043
3/30/2009,15,0.045
3/30/2009,16,0.048
3/30/2009,17,0.052
3/30/2009,18,0.055
3/30/2009,19,0.058
3/30/2009,20,0.062
3/30/2009,21,0.066
3/30/2009,22,0.071
3/30/2009,23,0.075
3/30/2009,24,0.080
3/31/2009,1,0.018
3/31/2009,2,0.019
3/31/2009,3,0.021
3/31/2009,4,0.022
3/31/2009,5,0.024
3/31/2009,6,0.025
3/31/2009,7,0.027
3/31/2009,8,0.029
3/31/2009,9,0.031
3/31/2009,10,0.033
3/31/2009,11,0.035
3/31/2009,12,0.037
3/31/2009,13,0.040
3/31/2009,14,0.042
